ID,DOM,Area,LP,SP,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,HOA Fee
40864558,5,3700,725000,750000,1249,3,2,0,Y,2,1963,0
40890253,7,3700,725000,705000,950,3,1,0,Y,2,1957,0
40863598,12,3700,730000,741000,960,2,1,0,Y,2,1970,0
40885232,6,3700,735000,685000,1060,3,2,0,Y,2,1969,0
40913351,26,3700,737000,758000,816,2,1,0,Y,2,1977,0
40913095,74,3700,739888,730000,1257,2,2,0,Y,2,1978,34
ML81760366,29,3700,745000,715000,1257,2,2,0,Y,1,1978,34
40842079,71,3700,745000,730000,950,3,2,0,N,0,1953,0
40860429,7,3700,745000,820000,1064,3,1,0,Y,2,1964,0
40928825,8,3700,748000,860000,1028,3,2,0,Y,1,1954,0
40937229,7,3700,748800,1050000,1502,3,1,0,Y,1,1928,0
40864052,22,3700,748888,685800,1000,3,2,0,Y,2,1955,0
40885329,9,3700,748888,795000,1001,2,2,0,Y,2,1987,85
ML81750089,22,3700,748888,685800,1000,3,2,0,Y,2,1955,0
40890855,8,3700,749000,768350,1001,2,2,0,Y,2,1987,88
40846776,14,3700,749000,749000,950,3,1,0,Y,1,1955,0
40929076,4,3700,749000,850000,950,3,1,0,Y,1,1955,0
40938853,0,3700,749500,850000,1075,3,2,0,Y,1,1952,0
40890375,7,3700,749800,750000,925,3,1,0,Y,1,1955,0
ML81770304,31,3700,749888,760000,1067,3,2,0,Y,2,1961,0
40866756,96,3700,749999,725000,950,3,1,0,Y,1,1954,0
40858370,9,3700,750000,826000,1228,4,2,0,Y,2,1961,0
40910712,8,3700,750000,765000,1092,3,2,0,Y,2,1960,0
40886567,12,3700,750000,715000,996,3,2,0,Y,2,1959,0
40863651,14,3700,750000,764000,950,3,1,0,Y,1,1955,0
40890371,12,3700,750000,785000,1092,3,2,0,Y,2,1959,0
40951111,0,3700,750000,750000,1316,3,2,0,Y,2,1955,0
40867421,9,3700,750000,745000,925,3,1,0,Y,2,1955,0
ML81761226,4,3700,755000,745000,950,3,1,0,Y,1,1953,0
40874960,4,3700,755000,745000,950,3,1,0,Y,1,1953,0
40875502,59,3700,755000,715000,1114,3,1,0,Y,2,1952,0
40877547,19,3700,758888,725000,1446,3,2,0,Y,2,1960,0
40923414,14,3700,759000,750000,880,2,1,0,Y,2,1969,0
ML81762713,4,3700,760000,790000,948,3,1,0,Y,2,1959,0
40931247,0,3700,760000,760000,1166,3,2,0,Y,1,1953,0
40869516,15,3700,763888,765000,1470,4,2,0,Y,1,1952,0
40876968,10,3700,765000,760000,1166,3,2,0,Y,2,1953,0
40865050,7,3700,769000,790000,1167,3,2,0,Y,2,1955,0
ML81781182,7,3700,769000,782000,960,2,1,0,Y,2,1970,0
40879352,44,3700,770000,766250,1200,3,1,0,Y,0,1955,0
40895316,6,3700,774900,775000,1036,2,1,0,N,0,1904,0
ML81772123,40,3700,775000,775000,950,3,1,0,Y,1,1955,0
40897087,10,3700,775000,785000,1325,4,1,0,Y,1,1954,0
40914090,7,3700,775000,803000,1000,3,1,0,Y,2,1963,0
40896862,17,3700,775000,820000,1060,3,2,0,Y,2,1970,0
ML81752309,12,3700,775000,750000,1184,3,2,0,Y,1,1946,0
SF491282,40,3700,775000,775000,950,3,1,0,N,0,1955,0
40885599,33,3700,775000,775000,950,3,1,0,Y,1,1955,0
40860209,8,3700,779000,820000,1060,3,2,0,Y,2,1969,0
40888283,11,3700,779000,779000,880,2,1,1,Y,2,1969,0
40851988,10,3700,780000,840000,1008,3,2,0,Y,2,1960,0
40860093,7,3700,785000,785000,1497,3,2,0,Y,1,1951,0
40865632,8,3700,789000,855000,1056,3,2,0,Y,2,1958,0
40847869,9,3700,789950,792000,1108,3,2,0,Y,2,1966,0
40856482,40,3700,789999,765000,925,3,1,0,N,1,1956,0
40896970,38,3700,793000,810000,1037,2,1,0,N,0,1941,0
40930814,5,3700,795000,840000,966,2,1,0,Y,2,1939,0
40868234,72,3700,798000,775000,1001,2,2,0,Y,2,1987,85
ML81754479,72,3700,798000,775000,1001,2,2,0,Y,2,1987,85
40907088,12,3700,798800,834000,1042,2,2,0,Y,2,1985,127
40873780,49,3700,798888,860000,1112,3,2,0,Y,2,1954,0
40869498,88,3700,798888,785000,1107,2,2,0,Y,2,1999,115
40883130,6,3700,798888,800000,1182,2,1,0,Y,2,1947,0
40890581,9,3700,798897,820000,1444,4,2,0,Y,2,1954,0
40932153,7,3700,799000,880000,950,3,1,0,Y,1,1955,0
40867813,70,3700,799000,765000,1036,3,1,0,Y,2,1959,0
40872071,21,3700,799000,750000,1000,3,1,0,Y,2,1958,0
40954925,7,3700,799000,853000,990,2,1,0,N,0,1950,0
40947152,7,3700,799000,1100000,1473,3,2,0,Y,2,1959,0
40938526,6,3700,799000,952000,1148,3,2,0,Y,2,1971,0
40915908,7,3700,799000,850000,950,3,1,0,Y,1,1955,0
40920806,12,3700,799000,810000,816,2,1,0,N,0,1922,0
40855159,12,3700,799000,860000,1249,3,2,0,Y,2,1963,0
40914640,3,3700,799000,827000,1148,3,2,0,Y,2,1970,0
40899235,4,3700,799000,799000,950,3,1,0,Y,1,1955,0
40910443,9,3700,799000,851100,1407,2,2,1,Y,2,1987,260
40876643,6,3700,799000,800000,1106,3,1,0,Y,2,1954,0
40856343,4,3700,799000,825000,1150,3,2,0,Y,2,1959,0
40852493,7,3700,799000,820000,1800,3,2,0,Y,2,1961,0
40890180,0,3700,799000,860000,1131,3,2,0,Y,2,1963,0
40887870,7,3700,799000,921000,945,2,1,0,Y,1,1951,0
SF511110,6,3700,799000,880000,950,3,1,0,N,0,1955,0
40841235,69,3700,799000,750000,1060,3,2,0,Y,2,1969,0
40873687,6,3700,799000,850000,1251,3,2,0,Y,2,1958,0
ML81765178,8,3700,799000,885000,1112,3,2,0,Y,2,1954,0
40848594,8,3700,799000,799000,1148,3,2,0,Y,2,1957,0
40878922,14,3700,799777,820000,1112,3,2,0,N,1,1949,0
ML81797151,7,3700,799800,950000,950,3,1,0,Y,2,1959,0
40878667,10,3700,799800,850000,1067,3,2,0,Y,2,1962,0
40908090,8,3700,799800,950000,950,3,1,0,Y,2,1959,0
