ID,DOM,Area,LP,SP,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,Lot SqFt,HOA Fee,Closing Date
40844621,111,3700,"$1,228,888 ","$1,180,000 ",2008,3,2,1,Y,2,1978,"4,962",,3/21/19
ML81734290,48,3700,"$1,450,000 ","$1,430,000 ",2071,4,2,1,Y,2,1988,"5,111",,3/21/19
40853883,10,3700,"$2,190,000 ","$2,315,000 ",3472,4,3,0,Y,3,1992,"12,994",,3/21/19
40846339,42,3700,"$2,400,000 ","$2,300,000 ",3707,5,3,0,Y,3,1979,"14,824",,3/21/19
ML81737562,25,3700,"$949,950 ","$935,000 ",1950,5,2,,,0,1962,"6,034",,3/22/19
40853193,9,3700,"$979,000 ","$1,028,000 ",1589,4,2,,Y,2,1960,"6,615",,3/22/19
40852829,12,3700,"$1,000,000 ","$1,020,000 ",2028,3,2,0,Y,2,1956,"8,164",175,3/22/19
40849481,16,3700,"$1,015,000 ","$980,000 ",1644,3,2,2,Y,2,2014,"1,500",132,3/22/19
40853358,14,3700,"$1,050,000 ","$1,100,000 ",1788,4,2,0,Y,2,1977,"7,241",,3/22/19
40853231,8,3700,"$1,150,000 ","$1,160,000 ",1791,4,2,1,Y,2,2007,"5,300",,3/22/19
40852800,12,3700,"$1,199,800 ","$1,237,000 ",1928,4,3,0,Y,2,1959,"6,500",,3/22/19
40851622,23,3700,"$1,200,000 ","$1,190,000 ",1750,4,3,,N,2,1987,"5,369",,3/22/19
ML81738709,12,3700,"$1,489,000 ","$1,528,000 ",2893,5,3,1,Y,2,1971,"9,617",,3/22/19
40852612,14,3700,"$1,888,000 ","$1,990,000 ",2511,4,2,1,Y,2,1980,"9,966",,3/22/19
40855018,2,3700,"$850,000 ","$875,000 ",1321,4,2,0,Y,2,1959,"9,431",,3/25/19
40852097,25,3700,"$949,950 ","$935,000 ",1950,5,2,,N,0,1963,"6,034",,3/25/19
ML81738889,15,3700,"$1,385,000 ","$1,360,000 ",2574,4,3,,Y,2,2010,"4,000",114,3/25/19
ML81736342,13,3700,"$1,989,000 ","$1,960,000 ",2690,4,3,,Y,2,1981,"14,962",,3/25/19
40853868,10,3700,"$825,000 ","$860,000 ",1156,3,2,0,Y,2,1958,"5,940",,3/26/19
40853491,14,3700,"$999,999 ","$1,150,000 ",1389,3,2,0,Y,2,1972,"4,042",475,3/26/19
40853897,7,3700,"$1,000,000 ","$1,175,000 ",1796,3,2,0,Y,2,1978,"7,416",,3/26/19
40852377,10,3700,"$1,050,000 ","$1,152,000 ",951,3,1,0,Y,1,1952,"5,500",,3/26/19
40853418,9,3700,"$1,099,950 ","$1,115,000 ",2258,3,2,0,Y,2,1963,"8,400",150,3/26/19
